,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,alcohol,quality
1053,0.29,2.2,0.05,119.0,0.9962,10.3,4
1054,0.31,1.7,0.028999999999999998,61.0,0.9918,10.4,5
1055,0.26,2.2,0.049,111.0,0.9941,10.0,5
1056,0.21,1.2,0.06,111.0,0.9931,10.7,6
1057,0.51,10.0,0.09300000000000001,197.0,0.9981,9.0,5
1058,0.21,1.2,0.06,111.0,0.9931,10.7,6
1059,0.3,1.1,0.077,166.0,0.9944,8.7,4
1060,0.26,2.0,0.054000000000000006,121.0,0.992,11.6,7
1061,0.21,7.5,0.07,185.0,0.9966,9.4,5
1062,0.26,4.0,0.079,216.0,0.9956,9.5,5
1063,0.26,4.1,0.073,202.0,0.9956,9.5,5
1064,0.26,1.9,0.07200000000000001,159.0,0.9949,10.9,6
1065,0.22,14.8,0.054000000000000006,126.0,1.0002,9.7,5
1066,0.3,5.5,0.048,172.0,0.9942,9.1,6
1067,0.19,2.6,0.037000000000000005,125.0,0.9923,11.1,7
1068,0.33,6.35,0.024,87.0,0.9917,12.6,7
1069,0.2,1.5,0.031,147.0,0.9931,11.0,6
1070,0.37,1.6,0.04,166.0,0.992,11.3,7
1071,0.22,14.8,0.054000000000000006,126.0,1.0002,9.7,5
1072,0.29,9.1,0.036000000000000004,118.0,0.9953,10.9,7
1073,0.34,8.0,0.048,192.0,0.9951,10.9,5
1074,0.55,12.0,0.049,186.0,0.9974,9.3,6
1075,0.4,3.2,0.033,124.0,0.9904,12.7,7
1076,0.28,7.7,0.048,180.0,0.9974,10.1,6
1077,0.26,1.3,0.037000000000000005,132.0,0.9944,10.0,5
1078,0.26,16.3,0.051,197.0,1.0004,9.8,5
1079,0.34,6.2,0.046,227.0,0.9952,10.1,6
1080,0.15,4.7,0.059000000000000004,118.0,0.9956,9.0,7
1081,0.27,5.8,0.038,155.0,0.995,9.4,6
1082,0.27,5.8,0.038,155.0,0.995,9.4,6
1083,0.2,16.95,0.048,190.0,0.9995,9.2,6
1084,0.23,5.1,0.035,142.0,0.9942,10.1,7
1085,0.31,10.2,0.040999999999999995,160.0,0.9977,8.6,5
1086,0.24,3.8,0.027000000000000003,128.0,0.992,11.2,8
1087,0.24,1.3,0.037000000000000005,123.0,0.992,11.2,8
1088,0.2,16.95,0.048,190.0,0.9995,9.2,6
1089,0.17,4.0,0.034,127.0,0.9934,10.6,7
1090,0.21,17.1,0.049,213.0,1.0006,9.3,6
1091,0.21,14.5,0.048,178.0,0.9982,8.9,6
1092,0.21,1.2,0.069,156.0,0.9928,10.6,6
1093,0.17,6.7,0.038,132.0,0.9945,10.6,7
1094,0.24,8.4,0.045,183.0,0.9963,8.8,5
1095,0.24,1.3,0.033,97.0,0.9906,11.0,8
1096,0.28,8.8,0.04,139.0,0.9956,10.2,6
1097,0.23,5.1,0.035,142.0,0.9942,10.1,7
1098,0.29,10.6,0.039,120.0,0.9962,10.1,6
1099,0.29,2.6,0.025,120.0,0.9894,14.0,7
1100,0.27,5.8,0.038,155.0,0.995,9.4,6
1101,0.17,2.8,0.027999999999999997,107.0,0.9908,11.8,6
1102,0.16,1.6,0.033,148.0,0.9914,11.4,5
1103,0.29,6.7,0.036000000000000004,117.0,0.9938,10.7,5
1104,0.31,10.2,0.040999999999999995,160.0,0.9977,8.6,5
1105,0.32,4.9,0.027999999999999997,191.0,0.9922,11.5,7
1106,0.24,3.8,0.027000000000000003,128.0,0.992,11.2,8
1107,0.37,2.0,0.028999999999999998,87.0,0.9903,12.6,7
1108,0.29,1.7,0.024,76.0,0.9893,12.6,7
1109,0.22,2.4,0.054000000000000006,151.0,0.9952,9.3,4
1110,0.37,2.0,0.028999999999999998,87.0,0.9903,12.6,7
1111,0.18,1.3,0.04,96.0,0.9912,12.1,6
1112,0.22,12.0,0.053,177.0,0.9983,9.9,6
1113,0.18,1.6,0.047,102.0,0.9937,10.7,5
1114,0.52,1.4,0.047,26.0,0.9932,10.0,4
1115,0.15,2.2,0.047,96.0,0.9928,10.4,8
1116,0.415,1.4,0.04,64.0,0.9922,10.5,5
1117,0.45,8.3,0.037000000000000005,216.0,0.9976,9.7,5
1118,0.415,1.4,0.04,64.0,0.9922,10.5,5
1119,0.5,12.9,0.042,138.0,0.9974,9.0,5
1120,0.105,12.4,0.051,106.0,0.998,9.2,6
1121,0.4,1.6,0.047,117.0,0.9931,10.1,6
1122,0.25,1.45,0.04,89.0,0.9911,11.4,7
1123,0.36,1.6,0.042,124.0,0.9944,10.8,5
1124,0.23,1.5,0.044000000000000004,135.0,0.9937,10.9,5
1125,0.55,13.0,0.047,182.0,0.9974,9.2,6
1126,0.115,1.95,0.038,166.0,0.9890000000000001,12.9,7
1127,0.125,5.85,0.042,99.0,0.992,12.0,7
1128,0.1,1.3,0.047,100.0,0.9928,9.5,5
1129,0.25,5.3,0.031,117.0,0.9918,11.8,7
1130,0.2,1.2,0.048,159.0,0.9936,9.1,6
1131,0.23,4.0,0.047,128.0,0.9944,9.7,6
1132,0.39,14.35,0.043,162.0,0.9988,9.1,5
1133,0.22,2.3,0.053,114.0,0.9940000000000001,10.0,5
1134,0.41,4.7,0.042,127.0,0.9953,10.4,5
1135,0.25,12.85,0.048,161.0,0.9986,9.5,6
1136,0.26,5.2,0.027000000000000003,178.0,0.9914,12.3,8
1137,0.31,8.4,0.031,170.0,0.9934,11.7,8
1138,0.28,3.2,0.057999999999999996,133.0,0.996,9.5,5
1139,0.31,6.9,0.034,91.0,0.9937,11.5,5
1140,0.16,1.0,0.076,57.0,0.9921,10.6,6
1141,0.34,7.3,0.052000000000000005,146.0,0.998,10.2,5
1142,0.28,3.2,0.057999999999999996,133.0,0.996,9.5,5
1143,0.24,1.6,0.048,131.0,0.9933,10.5,5
1144,0.25,1.5,0.047,132.0,0.9933,10.5,5
1145,0.32,7.5,0.040999999999999995,223.0,0.9959,8.9,5
1146,0.27,1.1,0.031,151.0,0.9936,10.6,5
1147,0.34,1.3,0.040999999999999995,188.0,0.9953,9.5,5
1148,0.17,5.7,0.025,111.0,0.9938,10.8,6
1149,0.25,7.2,0.038,220.0,0.9952,9.5,5
1150,0.32,7.6,0.042,219.0,0.9959,8.9,5
1151,0.32,7.5,0.040999999999999995,223.0,0.9959,8.9,5
1152,0.6,1.3,0.042,79.0,0.9937,9.4,4
1153,0.395,1.3,0.035,102.0,0.992,10.6,6
1154,0.16,4.8,0.037000000000000005,171.0,0.9967,9.0,4
1155,0.33,2.1,0.034,172.0,0.9944,10.5,4
1156,0.3,16.85,0.054000000000000006,135.0,0.9998,9.0,6
1157,0.3,16.85,0.054000000000000006,135.0,0.9998,9.0,6
1158,0.26,4.1,0.201,189.5,0.9942,9.4,6
1159,0.3,16.85,0.054000000000000006,135.0,0.9998,9.0,6
1160,0.14,1.3,0.055,153.0,0.9945,9.6,6
1161,0.3,16.85,0.054000000000000006,135.0,0.9998,9.0,6
1162,0.25,7.4,0.043,151.0,0.9946,10.2,7
1163,0.26,4.1,0.201,189.5,0.9942,9.4,6
1164,0.23,0.9,0.057,73.0,0.9928,10.4,6
1165,0.24,6.3,0.03,129.0,0.9946,10.4,5
1166,0.45,0.8,0.039,82.0,0.9927,9.5,5
1167,0.23,1.4,0.044000000000000004,113.0,0.9938,10.6,6
1168,0.2,1.0,0.037000000000000005,74.0,0.9918,11.0,5
1169,0.14,1.3,0.055,153.0,0.9945,9.6,6
1170,0.25,4.5,0.062,115.0,0.9966,9.9,6
1171,0.61,5.4,0.03,118.0,0.9954,9.6,5
1172,0.21,1.9,0.036000000000000004,119.0,0.9913,12.8,6
1173,0.22,2.0,0.045,101.0,0.9931,11.4,5
1174,0.26,12.7,0.036000000000000004,214.0,0.9986,10.0,6
1175,0.25,8.6,0.042,173.0,0.9965,9.1,5
1176,0.32,11.1,0.039,198.0,0.9984,9.4,7
1177,0.25,2.0,0.042,189.0,0.9952,10.2,6
1178,0.44,2.8,0.036000000000000004,167.0,0.9956,9.2,5
1179,0.2,4.5,0.044000000000000004,109.0,0.9949,9.4,5
1180,0.61,5.4,0.03,118.0,0.9954,9.6,5
1181,0.42,9.1,0.028999999999999998,125.0,0.996,10.1,6
1182,0.22,2.0,0.045,101.0,0.9931,11.4,5
1183,0.26,2.2,0.025,134.0,0.992,10.6,6
1184,0.46,4.1,0.033,138.0,0.9912,12.8,7
1185,0.41,11.8,0.065,225.0,0.9978,8.9,5
1186,0.32,1.2,0.048,184.0,0.9938,9.3,5
1187,0.21,2.2,0.026000000000000002,104.0,0.9914,11.1,8
1188,0.21,1.4,0.037000000000000005,143.0,0.9932,9.9,6
1189,0.26,1.6,0.068,55.0,0.9944,9.6,5
1190,0.21,1.9,0.036000000000000004,119.0,0.9913,12.8,6
1191,0.25,5.2,0.024,135.0,0.9948,10.7,7
1192,0.26,14.45,0.07400000000000001,107.0,0.998,9.2,6
1193,0.22,14.75,0.042,129.5,0.9998,9.1,7
1194,0.37,8.3,0.025,216.0,0.9964,9.6,6
1195,0.22,14.2,0.038,141.0,0.9992,9.2,6
1196,0.25,5.2,0.024,135.0,0.9948,10.7,7
1197,0.22,14.75,0.042,129.5,0.9998,9.1,7
1198,0.26,14.45,0.07400000000000001,107.0,0.998,9.2,6
1199,0.25,6.9,0.02,93.0,0.9939,10.7,7
1200,0.18,1.5,0.027000000000000003,93.0,0.992,10.8,6
1201,0.17,1.5,0.027999999999999997,75.0,0.9922,10.8,7
1202,0.3,7.8,0.046,192.0,0.9955,9.0,5
1203,0.33,1.5,0.049,97.0,0.9917,10.7,6
1204,0.33,1.5,0.049,97.0,0.9917,10.7,6
1205,0.33,1.5,0.047,200.0,0.9954,9.4,5
1206,0.26,15.55,0.037000000000000005,171.0,0.9986,8.8,6
1207,0.3,7.8,0.046,192.0,0.9955,9.0,5
1208,0.21,1.7,0.031,134.0,0.9917,11.5,6
1209,0.23,1.5,0.03,125.0,0.9907,12.5,6
1210,0.28,1.0,0.042,59.0,0.9922,10.5,6
1211,0.27,6.7,0.064,188.0,0.9958,9.7,5
1212,0.32,1.6,0.04,155.0,0.993,11.3,6
1213,0.33,1.5,0.049,97.0,0.9917,10.7,6
1214,0.24,1.2,0.033,59.0,0.9926,10.8,6
1215,0.28,7.1,0.045,169.0,0.9959,10.6,5
1216,0.37,1.0,0.034,93.0,0.9906,11.7,8
1217,0.61,12.1,0.301,220.0,0.9993,9.2,5
1218,0.26,7.1,0.027000000000000003,126.0,0.993,11.1,8
1219,0.37,1.0,0.034,93.0,0.9906,11.7,8
1220,0.23,1.15,0.044000000000000004,217.5,0.992,11.0,6
1221,0.4,6.0,0.034,127.0,0.992,12.5,7
1222,0.28,1.2,0.038,115.0,0.9940000000000001,10.0,6
1223,0.28,7.1,0.045,169.0,0.9959,10.6,5
1224,0.23,2.3,0.033,102.0,0.9908,12.3,7
1225,0.32,3.4,0.023,87.0,0.9902,12.7,6
1226,0.23,2.3,0.033,102.0,0.9908,12.3,7
1227,0.18,6.5,0.039,110.0,0.9943,10.5,5
1228,0.26,1.2,0.047,109.0,0.9921,12.5,6
1229,0.33,1.15,0.033,96.0,0.9911,12.4,3
1230,0.29,13.0,0.043,238.0,0.9986,8.7,6
1231,0.41,4.5,0.03,114.0,0.992,12.4,7
1232,0.44,5.85,0.033,93.0,0.992,12.6,7
1233,0.39,5.2,0.037000000000000005,131.0,0.9943,11.0,6
1234,0.26,1.3,0.043,155.0,0.9937,10.1,6
1235,0.32,1.7,0.036000000000000004,195.0,0.993,10.5,5
1236,0.32,3.4,0.023,87.0,0.9902,12.7,6
1237,0.24,3.6,0.024,116.0,0.9928,10.9,5
1238,0.44,2.7,0.040999999999999995,128.0,0.9896,13.5,7
1239,0.25,2.2,0.042,164.0,0.998,9.7,5
1240,0.14,1.8,0.040999999999999995,178.0,0.9954,9.2,6
1241,0.18,2.1,0.036000000000000004,187.0,0.9938,10.6,7
1242,0.43,6.6,0.033,141.0,0.9918,13.3,7
1243,0.44,2.7,0.040999999999999995,128.0,0.9896,13.5,7
1244,0.26,5.1,0.037000000000000005,131.0,0.9944,10.1,5
1245,0.66,17.55,0.042,233.0,0.9999,9.4,4
1246,0.2,5.2,0.055,167.0,0.9953,10.6,7
1247,0.21,1.1,0.046,80.0,0.992,11.3,6
1248,0.18,1.1,0.045,73.0,0.9925,10.8,7
1249,0.57,10.7,0.051,195.0,0.9981,10.4,5
1250,0.26,5.15,0.034,160.0,0.9952,10.5,7
1251,0.245,1.1,0.049,150.0,0.9927,9.3,5
1252,0.245,1.1,0.047,152.0,0.9927,9.3,6
1253,0.25,1.8,0.037000000000000005,165.0,0.9911,12.2,7
1254,0.16,1.0,0.138,150.0,0.9936,9.2,5
1255,0.22,1.8,0.057,104.0,0.9959,10.3,6
1256,0.18,1.4,0.046,157.0,0.9946,9.4,6
1257,0.17,6.7,0.036000000000000004,223.0,0.9948,10.2,6
1258,0.29,6.8,0.034,212.0,0.9955,9.0,6
1259,0.21,6.8,0.036000000000000004,245.0,0.9951,9.3,6
1260,0.23,7.1,0.037000000000000005,236.0,0.9952,9.2,6
1261,0.19,1.5,0.05,156.0,0.9946,9.4,6
1262,0.18,1.4,0.046,157.0,0.9946,9.4,6
1263,0.29,1.45,0.039,223.0,0.9944,9.5,6
1264,0.14,1.2,0.036000000000000004,73.0,0.9938,9.9,5
1265,0.31,7.4,0.059000000000000004,174.0,0.9963,11.1,7
1266,0.28,4.2,0.027999999999999997,116.0,0.991,12.3,8
1267,0.22,14.6,0.044000000000000004,163.0,1.0003,8.6,7
1268,0.31,10.5,0.04,145.0,0.9966,9.4,5
1269,0.35,13.8,0.048,190.0,0.9993,9.4,6
1270,0.22,14.6,0.044000000000000004,163.0,1.0003,8.6,7
1271,0.5,1.1,0.037000000000000005,126.0,0.9938,10.9,5
1272,0.39,5.3,0.16899999999999998,162.0,0.9965,9.4,5
1273,0.5,1.1,0.037000000000000005,126.0,0.9938,10.9,5
1274,0.35,13.8,0.048,190.0,0.9993,9.4,6
1275,0.22,1.5,0.064,132.0,0.9938,9.2,6
1276,0.22,14.6,0.044000000000000004,163.0,1.0003,8.6,7
1277,0.31,10.5,0.04,145.0,0.9966,9.4,5
1278,0.24,4.9,0.083,133.0,0.9942,10.8,6
1279,0.27,1.9,0.025,153.0,0.9928,10.5,6
1280,0.16,1.7,0.026000000000000002,140.0,0.991,12.5,6
1281,0.27,1.8,0.027999999999999997,168.0,0.9911,12.1,7
1282,0.31,10.7,0.039,147.0,0.9977,8.7,5
1283,0.45,8.8,0.026000000000000002,151.0,0.9927,12.7,8
1284,0.27,1.8,0.027999999999999997,168.0,0.9911,12.1,7
1285,0.16,1.7,0.026000000000000002,140.0,0.991,12.5,6
1286,0.16,1.8,0.05,147.0,0.9912,11.4,7
1287,0.21,1.6,0.032,110.0,0.9907,12.9,7
1288,0.32,1.4,0.028999999999999998,109.0,0.9902,12.8,7
1289,0.16,1.6,0.034,78.0,0.992,11.2,6
1290,0.16,1.5,0.033,98.0,0.9940000000000001,9.7,6
1291,0.23,9.2,0.038,191.0,0.9966,9.7,6
1292,0.17,1.1,0.037000000000000005,79.0,0.993,10.3,6
1293,0.39,4.3,0.03,102.0,0.993,11.6,4
1294,0.41,4.2,0.031,102.0,0.993,11.6,4
1295,0.23,9.2,0.038,191.0,0.9966,9.7,6
1296,0.38,5.0,0.045,131.0,0.9942,10.9,6
1297,0.42,6.8,0.045,122.0,0.9925,12.6,7
1298,0.34,5.2,0.04,163.0,0.9925,12.4,6
1299,0.23,4.75,0.042,166.0,0.9928,11.5,5
1300,0.245,5.9,0.045,159.0,0.995,10.2,6
1301,0.2,7.7,0.032,176.0,0.9939,11.4,5
1302,0.19,6.4,0.067,212.0,0.9958,9.6,6
1303,0.2,8.1,0.035,163.0,0.9952,10.3,6
1304,0.59,17.35,0.038,228.0,1.0,9.3,5
1305,0.14,1.8,0.05,114.0,0.9948,10.7,7
1306,0.24,1.8,0.047,105.0,0.99,12.8,8
1307,0.14,1.5,0.049,142.0,0.9958,9.5,5
1308,0.15,1.6,0.046,130.0,0.9948,10.4,6
1309,0.17,1.6,0.049,94.0,0.9949,10.3,6
1310,0.365,13.5,0.040999999999999995,142.0,0.997,9.9,6
1311,0.23,3.75,0.039,116.0,0.9927,10.7,6
1312,0.25,1.3,0.04,160.0,0.9938,10.5,5
1313,0.32,1.3,0.046,186.0,0.9949,9.6,5
1314,0.31,6.2,0.04,169.0,0.9953,9.3,6
1315,0.2,9.7,0.044000000000000004,162.0,0.997,10.0,6
1316,0.255,2.0,0.026000000000000002,190.0,0.9932,11.2,6
1317,0.15,1.4,0.039,177.0,0.9927,10.8,5
1318,0.15,1.1,0.044000000000000004,96.0,0.9932,10.3,6
1319,0.25,6.6,0.038,234.0,0.9955,8.8,5
1320,0.19,1.5,0.044000000000000004,114.0,0.9914,12.8,6
1321,0.43,4.6,0.027999999999999997,114.0,0.991,13.2,6
1322,0.31,0.9,0.037000000000000005,152.0,0.992,10.1,6
1323,0.2,1.7,0.09300000000000001,161.0,0.9924,11.0,5
1324,0.16,1.3,0.043,182.0,0.9927,10.8,6
1325,0.32,2.3,0.04,114.0,0.9911,12.8,7
1326,0.22,6.8,0.042,168.0,0.9958,9.2,6
1327,0.26,1.5,0.047,167.0,0.9928,10.5,6
1328,0.37,1.2,0.027999999999999997,81.0,0.9902,11.7,6
1329,0.19,2.1,0.052000000000000005,104.0,0.9940000000000001,9.5,5
1330,0.21,2.2,0.05,108.0,0.9940000000000001,9.5,5
1331,0.15,8.8,0.057999999999999996,110.0,0.9972,8.8,6
1332,0.16,17.0,0.05,210.0,1.0004,9.3,7
1333,0.21,1.8,0.034,180.0,0.991,12.6,8
1334,0.24,1.2,0.048,107.0,0.9918,12.4,6
1335,0.21,2.3,0.047,189.0,0.995,10.1,6
1336,0.29,7.0,0.042,161.0,0.9941,11.2,8
1337,0.18,6.4,0.048,251.0,0.9956,10.0,5
1338,0.18,6.4,0.048,251.0,0.9956,10.0,5
1339,0.58,12.15,0.033,116.0,0.9959,10.8,6
1340,0.16,0.8,0.04,121.0,0.9922,10.0,6
1341,0.54,2.0,0.028999999999999998,151.0,0.9931,10.4,5
1342,0.58,12.15,0.033,116.0,0.9959,10.8,6
1343,0.25,12.4,0.059000000000000004,181.0,0.9984,9.8,6
1344,0.23,1.9,0.040999999999999995,165.0,0.9908,12.2,8
1345,0.39,1.1,0.043,113.0,0.991,12.7,8
1346,0.46,6.2,0.039,163.0,0.9928,12.2,7
1347,0.35,6.3,0.039,162.0,0.9936,11.9,7
1348,0.29,7.0,0.042,161.0,0.9941,11.2,8
1349,0.35,0.9,0.042,61.0,0.9924,10.4,4
1350,0.57,3.9,0.034,122.0,0.9917,12.8,7
1351,0.37,3.9,0.027000000000000003,130.0,0.9906,12.7,7
1352,0.21,2.3,0.047,189.0,0.995,10.1,6
1353,0.18,6.4,0.048,251.0,0.9956,10.0,5
1354,0.13,1.8,0.04,179.0,0.9955,9.0,5
1355,0.19,1.1,0.04,143.0,0.9907,11.4,5
1356,0.22,15.4,0.05,191.0,1.0,8.9,6
1357,0.29,6.5,0.039,167.0,0.9953,9.3,6
1358,0.35,2.4,0.048,103.0,0.9911,12.0,8
1359,0.19,1.4,0.04,132.0,0.9922,10.8,7
1360,0.12,5.7,0.044000000000000004,158.0,0.9951,10.5,6
1361,0.13,5.7,0.038,189.5,0.9948,10.6,7
1362,0.25,1.4,0.04,115.0,0.9906,11.3,7
1363,0.32,1.4,0.051,96.0,0.9940000000000001,9.5,4
1364,0.19,1.1,0.04,143.0,0.9907,11.4,5
1365,0.13,1.2,0.046,140.0,0.9927,10.1,7
1366,0.14,0.9,0.037000000000000005,95.0,0.9914,10.9,6
1367,0.27,3.8,0.057999999999999996,115.0,0.9958,8.9,5
1368,0.22,15.4,0.05,191.0,1.0,8.9,6
1369,0.64,14.15,0.168,185.0,0.9984,9.3,5
1370,0.28,1.9,0.052000000000000005,116.0,0.9941,10.4,6
1371,0.26,9.2,0.042,162.0,0.9944,12.0,7
1372,0.22,8.2,0.044000000000000004,181.0,0.998,9.5,6
1373,0.22,8.2,0.044000000000000004,181.0,0.998,9.5,6
1374,0.23,2.7,0.032,121.0,0.9902,12.4,7
1375,0.3,1.7,0.032,130.0,0.9911,11.2,7
1376,0.27,1.7,0.047,134.0,0.9929,11.4,6
1377,0.28,1.7,0.05,136.0,0.993,11.4,6
1378,0.28,1.6,0.047,132.0,0.9918,11.1,7
1379,0.46,0.9,0.054000000000000006,126.0,0.992,10.4,6
1380,0.38,8.5,0.044000000000000004,152.0,0.9932,12.0,7
1381,0.43,5.7,0.039,98.0,0.992,12.3,7
1382,0.56,3.1,0.045,92.0,0.9940000000000001,9.1,6
1383,0.36,1.3,0.046,102.0,0.9923,10.5,6
1384,0.23,1.6,0.047,133.0,0.993,11.4,6
1385,0.33,1.3,0.042,138.0,0.9956,9.5,5
1386,0.49,4.5,0.039,116.0,0.9907,13.7,7
1387,0.42,2.8,0.034,85.0,0.99,13.4,6
1388,0.18,1.2,0.044000000000000004,143.0,0.9918,11.3,7
1389,0.19,0.9,0.037000000000000005,180.0,0.9926,10.0,6
1390,0.19,7.4,0.034,123.0,0.995,10.1,6
1391,0.16,1.4,0.028999999999999998,81.0,0.99,12.2,6
1392,0.42,2.8,0.034,85.0,0.99,13.4,6
1393,0.135,4.6,0.042,101.0,0.9946,9.3,6
1394,0.49,4.5,0.039,116.0,0.9907,13.7,7
1395,0.19,1.6,0.039,98.0,0.9898,12.3,7
1396,0.18,1.2,0.044000000000000004,143.0,0.9918,11.3,7
1397,0.25,13.1,0.05,200.0,0.9986,8.9,7
1398,0.25,13.1,0.05,200.0,0.9986,8.9,7
1399,0.2,5.7,0.035,83.0,0.9928,11.5,6
1400,0.25,13.1,0.05,200.0,0.9986,8.9,7
1401,0.67,12.6,0.052000000000000005,222.0,0.9979,9.3,6
1402,0.4,5.4,0.044000000000000004,122.0,0.9940000000000001,11.1,8
1403,0.26,2.2,0.044000000000000004,128.0,0.9937,10.9,8
1404,0.31,6.6,0.043,73.0,0.9938,11.6,5
1405,0.39,6.9,0.069,117.0,0.9942,10.2,4
1406,0.22,6.8,0.034,90.0,0.9944,10.5,8
1407,0.19,3.6,0.033,78.0,0.993,11.4,6
1408,0.25,13.1,0.05,200.0,0.9986,8.9,7
1409,0.2,1.2,0.04,118.0,0.9932,10.6,6
1410,0.26,5.9,0.037000000000000005,97.0,0.9934,11.6,6
1411,0.2,5.7,0.035,83.0,0.9928,11.5,6
1412,0.3,4.1,0.035,155.0,0.9925,12.3,8
1413,0.29,7.1,0.042,124.0,0.9944,10.8,6
1414,0.17,1.4,0.037000000000000005,130.0,0.9909,11.3,6
1415,0.415,0.8,0.038,63.0,0.9932,9.3,5
1416,0.23,1.3,0.045,128.0,0.9934,10.0,6
1417,0.55,15.55,0.057,366.5,1.0001,11.0,3
1418,0.35,1.0,0.044000000000000004,132.0,0.992,10.2,5
1419,0.14,1.6,0.04,103.0,0.9916,10.8,7
1420,0.28,11.8,0.042,137.0,0.998,10.1,4
1421,0.18,4.5,0.047,90.0,0.9919,11.6,6
1422,0.165,1.1,0.051,105.0,0.9925,9.1,5
1423,0.25,10.0,0.055999999999999994,225.0,0.9977,10.0,4
1424,0.29,7.1,0.042,124.0,0.9944,10.8,6
1425,0.22,0.9,0.052000000000000005,128.0,0.991,11.4,6
1426,0.22,1.0,0.045,140.0,0.99,12.7,6
1427,0.25,1.1,0.042,156.0,0.9917,11.3,5
1428,0.18,1.1,0.033,81.0,0.9923,10.4,7
1429,0.22,1.5,0.051,87.0,0.9928,9.6,5
1430,0.39,1.0,0.048,119.0,0.9923,10.1,4
1431,0.22,1.5,0.051,87.0,0.9928,9.6,5
1432,0.36,2.9,0.03,94.0,0.9902,12.1,7
1433,0.29,1.2,0.031,99.0,0.9893,12.2,6
1434,0.25,1.1,0.042,156.0,0.9917,11.3,5
1435,0.23,14.2,0.053,94.0,0.9982,9.6,5
1436,0.56,17.85,0.051,243.0,1.0005,9.2,5
1437,0.18,1.1,0.033,81.0,0.9923,10.4,7
1438,0.23,7.1,0.05,210.0,0.9951,9.5,5
1439,0.25,7.6,0.052000000000000005,226.0,0.9956,8.9,5
1440,0.26,13.6,0.05,162.0,0.998,8.8,5
1441,0.31,1.4,0.057,117.0,0.9928,10.5,5
1442,0.25,1.2,0.061,117.0,0.9938,9.4,5
1443,0.18,5.3,0.04,125.0,0.9914,12.2,6
1444,0.43,13.0,0.033,158.0,0.9955,11.3,6
1445,0.2,4.45,0.044000000000000004,130.0,0.9924,12.2,6
1446,0.27,1.2,0.063,92.0,0.9911,12.2,6
1447,0.16,1.2,0.055,150.0,0.9917,11.2,6
1448,0.16,1.2,0.055,150.0,0.9917,11.2,6
1449,0.19,6.6,0.036000000000000004,172.0,0.9932,11.5,6
1450,0.43,13.0,0.033,158.0,0.9955,11.3,6
1451,0.4,1.1,0.048,138.0,0.9929,9.3,5
1452,0.43,13.0,0.033,158.0,0.9955,11.3,6
1453,0.52,14.0,0.034,156.0,0.9958,11.8,7
1454,0.21,19.8,0.054000000000000006,231.0,1.0012,9.2,5
1455,0.34,11.2,0.069,150.0,0.9968,9.2,5
1456,0.27,1.2,0.063,92.0,0.9911,12.2,6
1457,0.2,4.45,0.044000000000000004,130.0,0.9924,12.2,6
1458,0.22,2.7,0.044000000000000004,144.0,0.991,12.2,6
1459,0.11,4.5,0.048,133.0,0.9946,10.6,6
1460,0.17,3.6,0.05,128.0,0.9928,12.4,6
1461,0.145,5.4,0.048,164.0,0.9946,10.8,6
1462,0.16,1.2,0.055,150.0,0.9917,11.2,6
1463,0.19,1.2,0.051,137.0,0.9918,11.0,6
1464,0.44,9.1,0.031,151.0,0.9926,12.7,8
1465,0.2,0.8,0.044000000000000004,163.0,0.9931,10.2,5
1466,0.19,6.6,0.036000000000000004,172.0,0.9932,11.5,6
1467,0.25,3.0,0.03,96.0,0.9903,12.3,7
1468,0.24,1.6,0.046,60.0,0.9928,9.8,5
1469,0.4,1.1,0.048,138.0,0.9929,9.3,5
1470,0.52,14.0,0.034,156.0,0.9958,11.8,7
1471,0.43,13.0,0.033,158.0,0.9955,11.3,6
1472,0.21,1.35,0.052000000000000005,48.0,0.9911,11.4,5
1473,0.2,5.9,0.038,128.0,0.9938,10.8,6
1474,0.25,3.6,0.057,85.0,0.9942,9.5,4
1475,0.08,1.3,0.05,148.0,0.9945,10.2,6
1476,0.85,8.7,0.027999999999999997,184.0,0.9962,10.7,5
1477,0.51,1.2,0.04,104.0,0.992,10.8,6
1478,0.22,4.6,0.044000000000000004,159.0,0.9927,11.5,6
1479,0.16,2.0,0.055999999999999994,124.0,0.9948,10.7,6
1480,0.08,1.3,0.05,148.0,0.9945,10.2,6
1481,0.25,1.7,0.048,124.0,0.9942,10.1,6
1482,0.16,2.4,0.046,187.0,0.9952,10.4,6
1483,0.25,3.6,0.057,85.0,0.9942,9.5,4
1484,0.32,4.6,0.053,134.0,0.9958,9.1,3
1485,0.28,1.5,0.034,126.0,0.9918,10.6,6
1486,0.15,0.9,0.033,51.0,0.9932,9.4,6
1487,0.25,19.4,0.054000000000000006,169.0,1.0004,9.8,6
1488,0.26,13.3,0.044000000000000004,224.0,0.9972,9.5,6
1489,0.16,17.85,0.037000000000000005,187.0,0.9998,9.3,5
1490,0.185,1.1,0.03,117.0,0.9918,10.3,6
1491,0.2,1.3,0.031,97.0,0.9918,11.1,5
1492,0.3,9.4,0.046,188.0,0.9964,10.0,5
1493,0.34,9.0,0.033,180.0,0.9936,12.3,8
1494,0.35,8.65,0.033,186.0,0.9931,12.4,8
1495,0.29,9.6,0.03,197.0,0.9938,12.3,7
1496,0.62,1.1,0.039,62.0,0.9934,10.4,5
